Pose_Cam_X,Pose_Cam_Y,Pose_Cam_Z,Pose_Cam_Ori_X,Pose_Cam_Ori_Y,Pose_Cam_Ori_Z,Pose_Cam_Ori_W,BBox_Cam_Extent_X,BBox_Cam_Extent_Y,BBox_Cam_Extent_Z,BBox_Cam_Center_X,BBox_Cam_Center_Y,BBox_Cam_Center_Z,BBox_Cam_R00,BBox_Cam_R01,BBox_Cam_R02,BBox_Cam_R10,BBox_Cam_R11,BBox_Cam_R12,BBox_Cam_R20,BBox_Cam_R21,BBox_Cam_R22
0.193913,0.102333,0.499142,0.013324,0.913084,-0.407263,0.0153945,0.392532,0.205797,0.00820921,0.193913,0.102333,0.499142,-0.999172,0.0368719,0.0172598,0.0117919,0.667919,-0.744142,-0.0389654,-0.743321,-0.667801
-0.314844,0.0404557,0.561337,-0.643684,0.64729,-0.288704,-0.28868,0.38396,0.201258,0.0170128,-0.314845,0.0404555,0.561337,-0.00467085,-0.999988,-0.00205125,-0.666615,0.00464116,-0.745389,0.745389,-0.0021135,-0.666629
0.191358,-0.0319355,0.651092,0.910177,-0.024512,0.00633218,0.413446,0.389376,0.210346,0.0119971,0.191358,-0.0319353,0.651092,0.998719,-0.0498573,-0.00874234,-0.0393837,-0.656923,-0.752929,0.0317953,0.752308,-0.658046
0.18245,-0.161298,0.801858,-4.21007e-07,0.912873,-0.408243,-3.41604e-09,0.3875,0.203278,0.0156451,0.182449,-0.161298,0.801858,-1,3.79316e-15,-1.82493e-15,-1.53173e-06,0.666675,-0.74535,6.99967e-07,-0.74535,-0.666676
-0.218872,-0.155984,0.792389,0.0115422,0.911066,-0.412067,0.00505406,0.384364,0.196083,0.00798948,-0.218873,-0.155985,0.79239,-0.999683,0.0251974,-0.000303478,0.0168654,0.660135,-0.750959,-0.0187211,-0.750725,-0.660351
0.177033,-0.296078,0.957222,0.00727368,0.909627,-0.41536,0.00114933,0.38204,0.18661,0.00949564,0.177033,-0.296078,0.957223,-0.999892,0.0141882,-0.00395183,0.0122771,0.654846,-0.755664,-0.00813298,-0.75563,-0.65495
-0.220681,-0.287959,0.943929,0.0148947,0.909782,-0.414546,0.0150617,0.380424,0.197176,0.00898386,-0.220682,-0.287959,0.94393,-0.999103,0.0395901,0.0150563,0.0146135,0.65586,-0.754742,-0.0397544,-0.753845,-0.655851
-0.226637,-0.430068,1.10787,-0.0107155,0.912027,-0.409989,-0.000865744,0.379104,0.214952,0.00610435,-0.226638,-0.430069,1.10787,-0.99977,-0.0202548,0.00720698,-0.0188365,0.663588,-0.747862,0.010366,-0.747825,-0.663817
0.0701779,-0.489184,1.17236,0.65419,0.636863,-0.291491,0.285435,0.32301,0.199856,0.00829424,0.0701773,-0.489184,1.17236,0.0188774,0.999664,-0.0178159,0.666856,-0.0258638,-0.744739,-0.744949,0.00217738,-0.66712
-0.227771,-0.545641,1.23686,-4.21019e-07,0.908282,-0.418359,1.2612e-09,0.375528,0.186652,0.0129691,-0.227772,-0.545641,1.23686,-1,1.16889e-14,1.01655e-15,-1.53173e-06,0.649951,-0.759977,6.99967e-07,-0.759977,-0.649952
