Pose_Cam_X,Pose_Cam_Y,Pose_Cam_Z,Pose_Cam_Ori_X,Pose_Cam_Ori_Y,Pose_Cam_Ori_Z,Pose_Cam_Ori_W,BBox_Cam_Extent_X,BBox_Cam_Extent_Y,BBox_Cam_Extent_Z,BBox_Cam_Center_X,BBox_Cam_Center_Y,BBox_Cam_Center_Z,BBox_Cam_R00,BBox_Cam_R01,BBox_Cam_R02,BBox_Cam_R10,BBox_Cam_R11,BBox_Cam_R12,BBox_Cam_R20,BBox_Cam_R21,BBox_Cam_R22
0.297164,0.0683703,0.569235,0.647935,-0.647654,0.306415,0.258522,0.295295,0.160387,0.00795063,0.297164,0.0683704,0.569235,-0.0266926,-0.997707,0.0622085,-0.680845,-0.0274216,-0.731915,0.731942,-0.0618907,-0.678552
0.139962,0.0655839,0.564002,0.648818,-0.645306,0.29482,0.275129,0.290887,0.15498,0.00381797,0.139962,0.065584,0.564002,-0.00667828,-0.999601,0.0274852,-0.675146,-0.0157693,-0.737516,0.737654,-0.0234814,-0.674771
-0.0166499,0.0609711,0.564499,0.642684,0.653313,-0.284572,0.281351,0.295374,0.154783,0.00636132,-0.0166499,0.0609711,0.564499,-0.0155977,0.999877,0.00184152,0.679618,0.0119536,-0.733469,-0.733401,-0.0101893,-0.679722
-0.242194,0.0832265,0.536927,0.921252,0.0102729,0.00905291,0.388725,0.288758,0.147322,0.00942779,-0.242195,0.0832264,0.536927,0.999626,0.0118891,0.0246665,0.0259665,-0.697575,-0.716042,0.0086932,0.716414,-0.697623
-0.243159,-0.0250235,0.655325,0.907335,-0.00181409,0.00294751,0.420394,0.289178,0.152541,0.00552615,-0.243159,-0.0250236,0.655325,0.999977,-0.00577071,0.00382325,-0.000813244,-0.646532,-0.762887,0.00687382,0.762866,-0.646522
0.296846,-0.128531,0.787455,0.650219,-0.641637,0.297575,0.277429,0.281704,0.153041,0.00993801,0.296846,-0.128531,0.787455,-0.00049729,-0.999521,0.0309612,-0.669297,-0.0226723,-0.74265,0.742995,-0.0210911,-0.668966
0.140496,-0.133707,0.784697,0.64762,-0.643961,0.293846,0.282058,0.288831,0.156176,0.00276427,0.140496,-0.133707,0.784697,-0.00206346,-0.999848,0.0173328,-0.668321,-0.0115155,-0.743784,0.743871,-0.0131182,-0.668196
-0.0173314,-0.139096,0.785661,0.655362,-0.63637,0.291891,0.283433,0.29156,0.155532,0.00375507,-0.0173315,-0.139096,0.785662,0.0196659,-0.999568,0.0218531,-0.668642,-0.0294001,-0.743004,0.743325,4.20638e-07,-0.668932
-0.245425,-0.124315,0.768552,-2.74705e-07,0.919487,-0.39312,-6.06795e-10,0.295181,0.144636,0.0134964,-0.245425,-0.124315,0.768552,-1,-3.37346e-14,3.01608e-14,-1.0094e-06,0.690914,-0.722938,4.34199e-07,-0.722938,-0.690915
-0.238883,-0.228513,0.878084,0.019789,0.911849,-0.409392,0.0231871,0.288892,0.140716,0.00865324,-0.238883,-0.228513,0.878084,-0.998142,0.055075,0.0260832,0.0171034,0.664013,-0.747526,-0.0584891,-0.745691,-0.663722
0.306268,-0.331414,1.01622,-0.638487,0.648452,-0.320998,-0.262306,0.305111,0.171187,0.00925278,0.306268,-0.331414,1.01622,-0.0470607,-0.996457,0.0697206,-0.659657,-0.0214114,-0.751262,0.750093,-0.0813462,-0.656312
0.147626,-0.336543,1.01522,0.663101,-0.621203,0.295771,0.294827,0.312162,0.157995,0.0022674,0.147626,-0.336543,1.01522,0.0532529,-0.998244,0.0259572,-0.649438,-0.0543686,-0.758469,0.758548,0.0235335,-0.651193
-0.0147875,-0.343645,1.01969,0.65969,0.624341,-0.286614,0.304729,0.310785,0.164449,0.00270267,-0.0147878,-0.343646,1.01969,0.0561017,0.998423,0.00235667,0.649064,-0.0346764,-0.759943,-0.758663,0.0441633,-0.649986
-0.237604,-0.337516,1.0046,0.908178,-0.0263286,0.0231938,0.417111,0.283014,0.170707,0.010266,-0.237604,-0.337516,1.00461,0.997538,-0.0671713,0.020164,-0.0284728,-0.65065,-0.758844,0.0640918,0.756402,-0.650961
-0.240945,-0.450463,1.13516,0.022604,0.914075,-0.404254,0.0231416,0.28668,0.135973,0.011425,-0.240946,-0.450463,1.13516,-0.997908,0.0600342,0.0240305,0.0226129,0.672137,-0.740083,-0.0605816,-0.73799,-0.672088
0.304326,-0.526073,1.23816,0.642807,-0.642807,0.294616,0.294616,0.287856,0.151967,0.0138196,0.304325,-0.526073,1.23816,3.11133e-14,-1,-1.17788e-15,-0.652805,-1.0094e-06,-0.757527,0.757527,4.34199e-07,-0.652806
0.145801,-0.530878,1.24085,0.653074,0.627434,-0.288703,0.310598,0.256069,0.16287,0.00581423,0.145801,-0.530878,1.24085,0.0459545,0.998864,0.0126712,0.640181,-0.0197094,-0.767972,-0.766849,0.0434031,-0.64036
-0.0133092,-0.52784,1.23737,0.623808,0.65569,-0.310311,0.290933,0.251525,0.150473,0.00400518,-0.0133096,-0.52784,1.23737,-0.0524427,0.998609,-0.00562613,0.63749,0.0291416,-0.769908,-0.768672,-0.0439631,-0.638132
